GasSR,Humidity,Pressure,Temperature,PM1,PM10,PM2_5,IAQ,AQI
387.13,41.49,1006.28,28.23,30,55,43,90,SATISFACTORY
394.13,40.95,1006.32,28.23,31,58,44,90,SATISFACTORY
394.47,40.77,1006.34,28.26,32,58,44,95,SATISFACTORY
395.29,40.64,1006.36,28.29,33,61,46,95,SATISFACTORY
393.06,40.91,1006.38,28.33,32,63,46,90,SATISFACTORY
397.18,40.74,1006.38,28.36,33,63,47,95,SATISFACTORY
399.56,40.41,1006.38,28.4,31,58,44,95,SATISFACTORY
397.22,40.51,1006.42,28.44,29,54,43,95,SATISFACTORY
400.45,40.39,1006.46,28.49,28,57,42,95,SATISFACTORY
397.46,40.43,1006.44,28.54,27,56,40,95,SATISFACTORY
396.36,40.4,1006.48,28.61,26,55,40,95,SATISFACTORY
395.13,40.46,1006.5,28.66,27,60,40,95,SATISFACTORY
394.99,40.53,1006.52,28.71,27,55,40,95,SATISFACTORY
394.22,40.37,1006.52,28.74,29,58,44,95,SATISFACTORY
392.67,40.45,1006.54,28.83,29,59,43,95,SATISFACTORY
391.88,40.25,1006.6,28.88,28,58,44,95,SATISFACTORY
390.13,40.29,1006.6,28.98,26,58,41,95,SATISFACTORY
386.67,40.48,1006.66,29.05,31,66,46,95,SATISFACTORY
384.21,40.56,1006.64,29.12,30,65,46,95,SATISFACTORY
380.36,40.62,1006.64,29.2,29,57,42,95,SATISFACTORY
373,41.14,1006.7,29.3,26,63,41,90,SATISFACTORY
373.35,40.96,1006.7,29.38,22,44,31,95,SATISFACTORY
367.64,41.41,1006.72,29.49,22,34,31,95,SATISFACTORY
360.34,41.71,1006.74,29.59,19,31,25,90,SATISFACTORY
356.6,42.31,1006.77,29.7,21,32,29,90,SATISFACTORY
353.06,42.05,1006.81,29.8,20,33,27,90,SATISFACTORY
